"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"21","1040302489","Хомут спирального червяка и
червячного колеса","8",""
"22","1040004508","Хомут червяка и червячного
колеса","4",""
"23","00771407120601100","Штуцер шланга I","1",""
"24","00771407120601010","Хомут спирального червяка и
червячного колеса","1",""
"25","1990202288","Подкладка","3",""
"26","1990202282","Болт M12×55-10.9","2","GB/T5783-2000"
"27","00771407120601090","Шайба 12-300HV","1","GB/T96.1-2002"
"28","1990202287","Гайка M12-8","3","GB/T889.1-2000"
"29","00771407100601170","Изогнутая пластина II","6",""
"30","1040002262","Изогнутая пластина III","4",""
"31","1040301031","Болт M8×35-8.8","4","GB/T5783-2000"
"32","1040200507","Болт M8×16-8.8","4","GB/T5783-2000"
"33","00771407120601120","Изогнутая пластина I","1",""
"34","00771407120601190","Плита III","1",""
"35","1040004520","Болт M8×30-8.8","2","GB/T5783-2000"
"36","1040301515","Шайба 8-200HV","33","GB/T97.1-2002"
"37","1040004519","Болт M8×25-8.8","16","GB/T5783-2000"
