"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","1040002434","Болт M10×25-8.8","10","GB/T5783-2000"
"2","00771600301001250","Стопорный штифт","2",""
"3","00771600301001190","Штифт шкива II","2",""
"4","00771600301001160","Цапфа шкива II","2",""
"5","00771400200001040","φ32 Подшипник с волоконным
покрытием","2",""
"6","00771600301001080","Шкив втягивания стрелы II
Защитная пластина","2",""
"7","00771600301001040","Шкив втягивания стрелы II","2",""
"8","00771600301001260","Прижимная планка шкива II","2",""
"9","1040302489","Шайба 10","46",""
"10","1040004509","Болт M10×50-8.8","4","GB/T5783-2000"
"11","1040004535","Болт M10×60-8.8","8","GB/T5782-2000"
"12","1040002433","Болт M10×20-8.8","4","GB/T5783-2000"
"13","00771600301001120","2-й стальной канат втягивания
стрелы","2",""
"14","1040201111","Гайка M24","3","GB/T889-1986"
"15","1040201092","Гайка M24","3","GB/T6170-2000"
"16","1040301511","Шайба 24","3",""
"17","1040004512","Болт M12×60-8.8","2","GB/T5783-2000"
"18","00771600301001220","Монтажная панель датчика","2",""
"19","1040302490","Шайба 12","14",""
"20","00771600301001320","Пружина","2",""
