"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","1990202287","Хомут спирального червяка и
червячного колеса","3",""
"2","00771607110801040","Впускная труба I","1",""
"3","1990202281","Хомут червяка и червячного
колеса","1",""
"4","00771607110801050","Впускная труба II","1",""
"5","00771607110801010","Впускная стальная труба","1",""
"6","00771607110801030","Впускная труба III","1",""
"7","1990202289","Хомут спирального червяка и
червячного колеса","1",""
"8","00771607110801070","Изогнутая пластина II","1",""
"9","1040004517","Болт M8×16-8.8","4","GB/T5783-2000"
"10","1040301735","Шайба 8-100HV","4","GB/T97.1-2002"
"11","1990202288","Хомут спирального червяка и
червячного колеса","3",""
"12","1040004619","Болт M8×35-8.8","5","GB/T5783-2000"
"13","1040301515","Шайба 8-200HV","7","GB/T97.1-2002"
"14","00771607110801020","Впускная труба IV","1",""
"15","1009900902","Агрегат воздушного фильтра","1",""
"16","00771407100801010","Впускная труба I","1",""
"17","1990202290","Хомут спирального червяка и
червячного колеса","2",""
"18","1040201874","Гайка M8-8","2","GB/T889.1-2000"
"19","00771607110801060","Изогнутая пластина I","1",""
"20","00771607110801080","Труб. зажим","1",""
