"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","00771407120601180","Изогнутая пластина III","2",""
"2","00771407120601170","Болт M8×35-8.8","2","GB/T5783-2000"
"3","00771607120601150","Болт M8×16-8.8","1","GB/T5783-2000"
"4","00771407120601140","Изогнутая пластина I","2",""
"5","00771407120601130","Расширительный бак","1",""
"6","1040004619","Гайка M8-8","4","GB/T889.1-2000"
"7","1040004517","Блок радиатора","11",""
"8","00771607120601110","Хомут червяка и червячного
колеса","1",""
"9","1000300735","Паровой шланг I","1",""
"10","1040200503","Паровой шланг II","22",""
"11","1000300776","шланг
II","1",""
"12","1990202279","Вентилятор в сборе","4",""
"13","00771607120601050","Водопроводная труба","1",""
"14","00771607120601060","Болт M10×35-8.8","1","GB/T5783-2000"
"15","00771407120601020","Прокладка вентилятора","1",""
"16","1000300809","Гайка M10-8","1","GB/T889.1-2000"
"17","00771607120601040","Шайба 10-200HV","1","GB/T97.1-2002"
"18","1040002435","Болт M10×45-8.8","4","GB/T5783-2000"
"19","00771407120601080","Штуцер шланга II","1",""
"20","1040200504","Возвратная труба","4",""
