"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","1022200683","Электрический шкаф
управления поворотной
платформой в сборе 1","1",""
"2","1022270089","Электрический шкаф
управления поворотной
платформой в сборе 2","1",""
"3","1020705067","Электрический шкаф
управления поворотной
платформой в сборе 3","1",""
"4","/","Разгрузочный клапан","/",""
"5","/","Клапан выдвижения
стрелы","/",""
"6","/","Клапан выдвижения
стрелы","/",""
"7","/","Клапан поворота влево
поворотной платформы","/",""
"8","/","Клапан опускания стрелы","/",""
"9","/","Клапан втягивания стрелы","/",""
"10","/","Клапан поворота вправо
поворотной платформы","/",""
"11","/","Расходный клапан шасси","/",""
"12","/","Расходный клапан
платформы","/",""
"13","/","Клапан аварийного
опускания","/",""
"14","1020700540","Оконечное сопротивление","1",""
"15","1020700540","Оконечное сопротивление","1",""
"16","/","Диагностика двигателя
Штепсель","/",""
"17","/","Вставной модуль двигателя
A","/",""
"18","1029905348","Аккумулятор","1",""
