"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"19","/","Общественная земля","/",""
"20","/","Реле вспомогательного
силового насоса","/",""
"21","/","Водо-масляный сепаратор","/",""
"22","/","Топливный насос","/",""
"23","00771606200420000","Пучок кабеля ECU","1",""
"24","/","Радиатор","/",""
"25","1021404019","Датчик угла наклона кузова
относительно горизонта","1",""
"26","1029906298","Концевой выключатель
угла поворота поворотной
платформы","1",""
"27","/","Контактное кольцо
Штепсель 1","/",""
"28","/","Контактное кольцо
Штепсель 2","/",""
"29","/","Уровень топлива","/",""
"30","1020304982","Аварийный зуммер","1",""
"31","/","Уличный фонарь
(Опциональная установка)","/",""
"32","/","Промежуточный модуль
лампы аварийной сигнализации","/",""
"33","00771606200430000","Пучок кабеля стрелы","1",""
"34","00771606200610000","Кабельный жгут
буксируемой цепи","1",""
"35","/","Разъемный соединитель
ящика ручного управления","/",""
"36","/","GPS Разъемный
соединитель","/",""
