"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","/","Клапан заднего хода с
правой стороны","/",""
"2","/","Клапан переднего хода с
правой стороны","/",""
"3","/","Клапан заднего хода с
левой стороны","/",""
"4","/","Клапан переднего хода с
левой стороны","/",""
"5","1020700540","Оконечное сопротивление","1",""
"6","/","Диагностика двигателя
Штуцер","/",""
"7","1020305006","Контактор постоянного
тока для подогрева","1",""
"8","/","Реле стартерного двигателя","/",""
"9","00771606200430010","Пучок кабеля поворотной
платформы","1",""
"10","/","Уровень охлаждающей
жидкости","/",""
"11","/","Засорение воздушного
фильтра","/",""
"12","/","Индикатор зарядки","/",""
"13","/","Двигатель ECU Штепсель","/",""
