"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"21","00771400210001130","Самосмазывающийся
подшипник III","2",""
"22","00771400210001170","Распорная втулка
гидроцилиндра выравнивания
консоли II","1",""
"23","1040004511","Болт M12×30-8.8","2","GB/T 5783-2000"
"24","00771400210001180","Стопорный штифт","2",""
"25","00771400210001030","Штифт гидроцилиндра
верхнего шатуна","1",""
"26","00771400210001140","Самосмазывающийся
подшипник IV","4",""
"27","00771400210800000","Опора II","1",""
"28","00771400210001040","Задний штифт верхнего шатуна","1",""
"29","00771400210001160","Распорная втулка
гидроцилиндра выравнивания
консоли I","1",""
"30","00771400211000000","Гидроцилиндр изменения
вылета консоли","1",""
"31","00773400400001020","Передний штифт верхнего
шатуна","1",""
"32","00771400210001010","Штифт нижнего шатуна","1",""
"33","00771400210001060","Нижний штифт опоры","1",""
"34","00771400210001050","Верхний штифт опоры","1",""
"35","00771400211200000","Регулируемый трубный зажим","2",""
"36","1040004590","Болт M8×14-8.8","4","GB/T 5783-2000"
