"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"21","1040302490","Шайба 12-200HV","16","GB/T 97.1-2002"
"22","00771600100001040","Регулировочная прокладка
качающегося цилиндра","1",""
"23","1040301511","Шайба 24-200HV","3","GB/T 97.1-2002"
"24","1040201111","Гайка M24-10","1","GB/T 889.1-2000"
"25","1040302821","Шайба 12-200HV","2","GB/T 96.1-2002"
"26","00771600100200000","Узел платформы","1",""
"27","00771600100400000","Узел кронштейна","1",""
"28","1040102372","Винт M4×20-A2-70","2","GB/T 70.1-2000"
"29","00771600101400000","Защитная крышка
гидравлического клапана
платформы","1",""
"30","00771600101600000","Сварная конструкция рамы
гидравлического клапана","1",""
"31","00771600101000000","Кронштейн фильтра","1",""
"32","1040101643","Винт M6×30-A2-70","2","GB/T 70.1-2000"
