"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","00771407120801060","Впускная труба III","1",""
"2","1990202290","Хомут спирального червяка и
червячного колеса","2",""
"3","1000100391","Агрегат воздушного фильтра","1",""
"4","00771407120801030","Впускная труба II","1",""
"5","00771407120801020","Впускная стальная труба","1",""
"6","1040004519","Болт M8×25-8.8","4","GB/T5783-2000"
"7","00771407120801050","Изогнутая пластина II","1",""
"8","00771407120801010","Впускная труба I","1",""
"9","1990202289","Хомут спирального червяка и
червячного колеса","3",""
"10","00771407120801040","Изогнутая пластина I","1",""
"11","1040004619","Болт M8×35-8.8","2","GB/T5783-2000"
"12","1040301515","Шайба 8-200HV","6","GB/T97.1-2002"
"13","1040200503","Гайка M8-8","4","GB/T889.1-2000"
