"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"31","00771407000201010","Опасность опрокидывания,
знак сигнализации наклона","1",""
"32","00771607000201070","Знак инструкции управления
пультом управления рабочей
платформы","1",""
"38","00771407000201130","LOGO ЗУМЛИОН стрелы","1",""
"39","00773407000201010","LOGO ЗУМЛИОН платформы","1",""
"41","00773407000201050","ЗУМЛИОН противовеса","1",""
"43","00771407000201160","Гидравлический бак","1",""
"46","00771607000201020","Знак схемы безопасного
рабочего диапазона","1",""
"47","00771607000201030","Знак «Опасность
опрокидывания»","1",""
"48","00771607000201040","Номинальное значение уклона","1",""
"49","00771607000201050","Знак ZT34J","1",""
"51","00773407000201480","Низкий уровень масла","1",""
"52","00773407000201490","Высокий уровень масла","1",""
