"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1040004519","Болт M8×25-8,8","20","JB/T5783-2000"
"2","1040301515","Шайба 8-200HV","35","GB/T97.1-2002"
"3","1040004521","Болт M8×45-8,8","4","JB/T5783-2000"
"4","00771407100601240","Планка III","2",""
"5","00771407100601160","Планка I","1",""
"6","00771407100601150","Планка Ⅱ","2",""
"7","00771907100601130","Ветроотбойник","1",""
"8","00771407100601120","Гнутая пластина Ⅱ","1",""
"9","00771407100601100","Изогнутая пластинка Ⅳ","1",""
"10","1000300735","Расширительный бак","1",""
"11","1040200503","Гайка M8-8","19","GB/T889.1-2000"
"12","00771407100601290","Полосовая губка I","1",""
"13","1990202288","Хомут спирального червяка","6",""
"14","00771407100601060","Штуцер шланга Ⅰ","1",""
"15","1990202279","Хомут спирального червяка","6",""
"16","00771407100601090","Паровой рукав I","1",""
"17","00771407100601070","Паровой рукав II","1",""
"18","00771407100601080","Труба подпиточной воды","1",""
"19","1990202282","Хомут спирального червяка","2",""
"20","00771407100601050","Штуцер шланга Ⅱ","1",""
"21","00771907100601040","Штуцер шланга Ⅲ","1",""
"22","00771407100601250","Штуцер","1",""
"23","00771407100601260","Паровой шланг III","1",""
"24","1000300702","Вентилятор в сборе","1",""
"25","00771407100601170","Подкладка","6",""
"26","1000300701","Радиатор в сборе","1",""
"27","1040002262","Болт M12×55-10,9","4","JB/T5783-2000"
"28","1040301031","Шайба 12-300HV","4","GB/T96.1-2002"
"29","1040200507","Гайка M12-8","4","GB/T889.1-2000"
"30","00771407100601110","Гнутая пластина Ⅲ","1",""
"31","1040004517","Болт M8×16-8,8","8","JB/T5783-2000"
