"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1040002435","Болт M10×35-8.8","6","JB/T5783-2000"
"2","1040302489","Шайба 10-200HV","28","GB/T97.1-2002"
"3","00771600301250000","Ползун","2",""
"4","1040002433","Болт M10×20-8.8","8","JB/T5783-2000"
"5","00771400301401080","Регулировочная шайба IV","8",""
"6","00773400300001140","Регулировочная шайба Ⅴ","8",""
"7","00771100301310000","Ползун","6",""
"8","1040002434","Болт M10×25-8.8","8","JB/T5783-2000"
"9","1040002446","Болт M16×40-8,8","1","JB/T5783-2000"
"10","00771400600001060","Стопорный штифт","1",""
"11","00771900310001040","Штифт цилиндра подъема вылета","1",""
"12","00771900310200000","1-я секция стрелы","1",""
"13","1040301515","Шайба 8-200HV","6","GB/T97.1-2002"
"14","1040004590","Болт M8×14-8,8","4","JB/T5783-2000"
"15","00771900312200000","Защитный щит","1",""
"16","00771900311201010","Подшипник, не требующий смазки","2",""
"17","00771900310001050","Панель заглушки","1",""
"18","1040300771","Шайба 6-200HV","24","GB/T97.1-2002"
"19","1040002738","Болт M6×12-A2-70","6","JB/T5783-2000"
"20","1040201092","Гайка M24 -10","3","JB/T6170-2000"
"21","1040201111","Гайка M24 -10","3","JB/T889-1986"
"22","1040301511","Шайба 24-200HV","3","GB/T97.1-2002"
"23","00771600301001230","Направляющий стержень","4",""
"24","00771900311001210","Монтажная планка датчика","2",""
"25","00771600301001320","Пружина","2",""
"26","00771900311001010","Стальной трос выдвигающей верхней стрелы","2",""
"27","00771900311010000","Гидроцилиндр выдвижения-втягивания","1",""
"28","00773400400001250","Стопорный штифт","2",""
"29","1040004570","Болт M16×30-8,8","2","JB/T5783-2000"
"30","00771900311001200","Штырь цилиндра","2",""
"31","1040004594","Болт M10×140-8.8","3","JB/T5782-2000"
"32","00771900311121010","Соединительная плита","1",""
"33","1040200504","Гайка M10-8","3","GB/T889.1-2000"
"34","00771900311121020","Шкив","4",""
