"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1040004619","Болт M8×35-8,8","4","GB/T 5783-2000"
"2","1040301515","Шайба 8-200HV","16","GB/T 97,1-2002"
"3","00773400100401020","Прижимная планка","2",""
"4","1040004654","Болт M16×1,5×40-10,9","8","GB/T 5787-1986"
"5","1040301511","Шайба 24-200HV","8","GB/T 97,1-2002"
"6","00771600100420000","Переходный держатель","1",""
"7","1021404016","Датчик веса","1",""
"8","00771600100410000","Сварная деталь кронштейна","1",""
"9","00771600100001030","Крюк для защиты платформы II","2",""
"10","1040302493","Шайба 20-200HV","4","GB/T 97,1-2002"
"11","1040004499","Болт M16×45-8,8","4","GB/T 5783-2000"
"12","1040201089","Гайка M8-8","6","GB/T 6170-2000"
"13","00773400100401040","Вкладыш","3",""
"14","1040301510","Шайба 8","6","GB/T 93-1987"
"15","1040103118","Винт M8×100-8.8","6","GB/T 70,1-2000"
