"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"35","00771900311121040","Втулка","4",""
"36","00771900311121030","Боковая планка","2",""
"37","1040102773","Винт M6×40-8.8","4","GB/T70.1-2000"
"38","00771900311201030","Держатель крепления маслопровода Ⅱ","2",""
"39","00771900311201020","Держатель крепления маслопровода Ⅰ","2",""
"40","1040004517","Болт M8×16-8,8","2","JB/T5783-2000"
"41","00771600301001310","Гнутая пластина","1",""
"42","00771900311110000","Опора стальной троса Ⅰ","1",""
"43","1040302490","Шайба 12-200HV","2","GB/T97.1-2002"
"44","1040002442","Болт M12×70-8,8","2","JB/T5783-2000"
"45","00771900311001020","Стальной трос втягивающей верхней
стрелы","2",""
"46","00771600301070000","Натяжное регулирующее устройство","1",""
"47","1040002555","Болт M6×16-A2-70","14","JB/T5783-2000"
"48","00771900311230000","Нижняя пылезащитная щетка","1",""
"49","1040004591","Болт M3×8-8.8","4","JB/T5783-2000"
"50","1040302410","Шайба 4-200HV","4","GB/T97.1-2002"
"51","00771900310001060","Капот датчика","1",""
"52","00771600300001040","Прокладка","3",""
"53","1040200741","Гайка M24 -10","2","GB/T889.1-2000"
"54","1040201484","Гайка M24 -10","2","JB/T6170-2000"
"55","1040302493","Шайба 20-200HV","2","GB/T97.1-2002"
"56","00771900311210000","Верхняя пылезащитная щетка","1",""
"57","00771900311220000","Боковая пылезащитная щетка","2",""
"58","00771600301050000","Постоянный ролик","2",""
