"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1040002458","Болт M8×40-8,8","4","JB/T5783-2000"
"2","1040301515","Шайба 8-200HV","10","GB/T97.1-2002"
"3","00771900200001020","Щиток трубы","1",""
"4","00771900200001010","Через втулку","2",""
"5","1021404015","Датчик угла наклона","1",""
"6","1040300771","Шайба 6-200HV","3","GB/T97.1-2002"
"7","1040301610","Шайба 6","3","JB/T93-1987"
"8","1040102778","Винт M6×10-8.8","3","GB/T 70,1-2000"
"9","00771400200001200","Защитный кожух датчика","1",""
"10","1040103111","Винт M8×16-8.8","2","GB/T 70,1-2000"
"11","00771400211200000","Подвижный трубный хомут","2",""
"12","1040004590","Болт M8×14-8,8","4","JB/T5783-2000"
"13","00771900200200000","Верхний шатун","1",""
"14","00771100200001070","Подшипник, не требующий смазки","2",""
"15","00771100200600000","Гидроцилиндр изменения вылета консоли","1",""
"16","00771100210001070","Прокладка I","4",""
"17","00771100210001050","Подшипник, не требующий смазки II","2",""
"18","1010201535","Качающийся цилиндр","1",""
"19","00771100210001010","Штырь верхнего шатуна","2",""
"20","1040002437","Болт M12×35-8,8","3","JB/T5783-2000"
"21","00773400200001070","Стопорный штифт","3",""
"22","1040103116","Винт M8×75-10.9","4","GB/T70.1-2000"
"23","00771100210001020","Штырь нижнего шатуна","2",""
"24","1040200503","Гайка M8-8","4","GB/T889.1-2000"
"25","00771100210001080","Прокладка II","2",""
"26","00771100210001060","Подшипник, не требующий смазывания III","2",""
"27","00771100210400000","Нижний шатун","2",""
"28","00773400400001020","Подшипник","4",""
"29","00771900200600000","Опора","1",""
"30","1040302490","Шайба 12-200HV","1","GB/T97.1-2002"
"31","00771100210001030","Соединительный штырь основной стрелы","1",""
"32","00771100200001080","Подшипник, не требующий смазки","2",""
"33","00771100210001040","Подшипник, не требующий смазывания I","2",""
