"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1022200683","Электрический шкаф управления
поворотной платформой в сборе 1","1",""
"2","1022270089","Электрический шкаф управления
поворотной платформой в сборе 2","1",""
"3","1020705067","Электрический шкаф управления
поворотной платформой в сборе 3","1",""
"4","/","Разгрузочный клапан","/",""
"5","/","Клапан подъем стрелы","/",""
"6","/","Клапан выдвижения кронштейн
стрелы","/",""
"7","/","Клапан поворота влево
поворотной платформы","/",""
"8","/","Клапан опускания стрелы","/",""
"9","/","Клапан втягивания кронштейна
стрелы","/",""
"10","/","Клапан поворота вправо
поворотной платформы","/",""
"11","/","Расходный клапан шасси","/",""
"12","/","Расходный клапан платформы","/",""
"13","/","Аварийный клапан опускания","/",""
"14","1020700540","Оконечное сопротивление","1",""
"15","1020700540","Оконечное сопротивление","1",""
"16","/","Диагностический разъем
двигателя","/",""
"17","/","Вставка А двигателя","/",""
"18","1029905348","Аккумулятор","1",""
"19","/","Общественно","/",""
"20","/","Реле насоса вспомогательной
силовой установки","/",""
"21","/","Водомаслоотделитель","/",""
"22","/","Топливный насос","/",""
"23","00771906200430020","Пучок кабелей ECU","1",""
"24","/","Радиатор","/",""
