"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","00771607110410000","Топливный бак в сборе 200 л","1",""
"2","1990202279","Хомут спирального червяка","12",""
"3","00771907100401030","Труба топлива Ⅲ","1",""
"4","00771907100401050","Труба топлива IV","1",""
"5","1990200692","Резиновая лента с пластическим
покрытием","5",""
"6","1040300771","Шайба 6-200HV","9","GB/T97.1-2002"
"7","1040005844","Болт M6×10-A2-70","4","JB/T5783-2000"
"8","1000400478","Водомаслоотделитель FH2380500M","1",""
"9","1040301515","Шайба 8-200HV","8","GB/T97.1-2002"
"10","1040002458","Болт M8×40-8,8","2","JB/T5783-2000"
"11","1040302489","Шайба 10-200HV","2","GB/T97.1-2002"
"12","1040004619","Болт M8×35-8,8","2","JB/T5783-2000"
"13","1081000673","Сложная уплотнительная шайба","10","JB/T982-1977"
"14","00773407100401060","Болт пустотелый М16 × 1,5 × 35","5",""
"15","00773407100401050","Соединитель II10","5",""
"16","00771407100401100","Изогнутая пластинка IV Tp8","1",""
"17","00771407100401040","Труба топлива Ⅲ","1",""
"18","00771407100401030","Труба топлива Ⅱ","1",""
"19","1040004518","Болт M8×20-8,8","4","JB/T5783-2000"
"20","1040001631","Болт M6×20-A2-70","5","JB/T5783-2000"
"21","1040201896","Гайка M6-8","5","GB/T889.1-2015"
"22","00771107100401070","Гнутая пластина","1",""
"23","00771907100401020","Труба топлива Ⅰ","1",""
"24","1040004565","Болт M10×30-8,8-DKL","2","JB/T5783-2016"
"25","00771407100401070","Труба топлива Ⅵ","1",""
"26","1149901739","Быстросъемная муфта","2",""
"27","1149901738","Быстросъемная муфта","1",""
"28","1040004519","Болт","2","JB/T5783-2000"
"29","1040200504","Гайка","2","GB/T889.1-2000"
"30","1040302480","Шайба","4","GB/T96.1-2002"
"31","1040302512","Шайба","4","GB/T96.1-2002"
"32","1040002434","Болт","4","JB/T5783-2000"
"33","1040200503","Гайка","10","GB/T889.1-2000"
"34","00773407100401030","Изогнута пластинка III","1",""
