"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","00771900801000001","Сварной элемент поворотной платформы","1",""
"2","1040004499","Болт M16×45-8,8","2","JB/T5783-2000"
"3","00773400400001170","Стопорный штифт φ20×120*","2",""
"4","00771900800001010","Штырь Iφ90*","1",""
"5","1040002439","Болт M12×40-8,8","11","JB/T5783-2000"
"6","1040302490","Шайба 12-200HV","19","GB/T97.1-2002"
"7","00771600800001320","Резиновая накладка T4","1",""
"8","00771100800801080","Резиновая накладка шкафа электрического
управления T3","2",""
"9","00771100800801060","Опора шкафа электрического управления
IL75×50×6","1",""
"10","00771900800001040","Монтажная плита радиатора Tp6","1",""
"11","1040200507","Гайка M12-8","7","GB/T889.1-2000"
"12","00771100800801070","Опора шкафа электрического управления
IIL75×50×6","1",""
"13","1040500228","Штифт 4×32","2","JB/T91-2000"
"14","00771900800400001","Правая опора","1",""
"15","1040500066","Штырь B16×55","2","JB/T882-1986"
"16","1040002445","Болт M16×35-8,8","3","JB/T5783-2000"
"17","1040301505","Шайба 16","3","JB/T93-1987"
"18","1040302492","Шайба 16-200HV","2","GB/T97.1-2002"
"19","00771600800001120","Опора главного клапана Tp5","1",""
"20","1040002450","Болт M16×80-8,8","1","JB/T5783-2000"
"21","1040201882","Гайка M10","1","JB/T6172-2000"
"22","00771900800001090","Водоотбойный щит среднего контура Tp4","1",""
"23","1040005846","Болт M12×20-8,8","4","JB/T5783-2000"
"24","00771400800001170","Кожух шестерни Tp2","1",""
"25","1040002433","Болт M10×20-8.8","3","JB/T5783-2000"
"26","1040004565","Болт M10×30-8,8-DKL","3","JB/T5783-2016"
"27","1040301502","Шайба 10","9","JB/T93-1987"
"28","1040302489","Шайба 10-200HV","12","GB/T97.1-2002"
"29","","00771600800001150 Монтажная пластина концевого выключателя Tp5","1",""
"30","1040200503","Гайка M8-8","2","GB/T889.1-2000"
