"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","00771407101001020","Выхлопной хвост","1",""
"2","1040004519","Болт M8×25-8,8","16","JB/T5783-2000"
"3","1040301515","Шайба 8-200HV","16","GB/T97.1-2002"
"4","00771907101001020","Выхлопной хвост Ⅱ","1",""
"5","1040200503","Гайка M8-8","16","GB/T889.1-2000"
"6","00771907101001010","Выхлопная труба I","1",""
"7","00771407121001050","Герметизирующая прокладка I","2",""
"8","00771407121001010","Шумотушитель","1",""
"9","1040102216","Винт M8×65-10.9-DKL","4","GB/T70.1-2000"
"10","1040301502","Шайба 10","4","JB/T93-1987"
"11","00771407111010000","Опора","1",""
