"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1040004519","Болт M8×25-8,8","42","JB/T5783-2000"
"2","1040302480","Шайба 8-200HV","162","GB/T96.1-2002"
"3","1040200503","Гайка M8-8","42","GB/T889.1-2000"
"4","00771901100001300","Уплотняющая плита Tp2","1",""
"5","00771901100001290","Уплотняющая плита Tp2","1",""
"6","00771901100001280","Уплотняющая плита Tp2","1",""
"7","1040200504","Гайка M10-8","6","GB/T889.1-2000"
"8","00771601102001020","Круглая сталь φ10","1",""
"9","1040200113","Гайка M10-8","18","JB/T6170-2000"
"10","1040302512","Шайба 10-200HV","30","GB/T96.1-2002"
"11","00771901103201010","Монтажная плита Tp6","1",""
"12","1040004507","Болт M10×40-8.8","6","JB/T5783-2000"
"13","00771401110001030","Нажимная плита Tp10","6",""
"14","1040302492","Шайба 16-200HV","12","GB/T97.1-2002"
"15","1040301505","Шайба 16","12","JB/T93-1987"
"16","1040201382","Гайка M16 -8","12","JB/T6170-2000"
"17","00771901104000000","Опора для установки
лево-переднего капота","1",""
"18","1110100363","Пневматическая пружина 604072
485mm,S=200mm,F=900N","2",""
"19","00771601000001060","Плита Tp6","1",""
"20","1040004678","Болт для ограничителя
открывания двери M10×70","3",""
"21","1040301515","Шайба 8-200HV","17","GB/T97.1-2002"
"22","00771901101000000","Сварка лево-переднего капота","1",""
"23","00771901100001330","Тяговый канат","1",""
"24","1040102774","Винт M6×15-8.8","6","GB/T70.1-2000"
"25","1040100105","Винт M6×25-8.8","20","GB/T70.1-2000"
"26","1040101643","Винт M6×30-A2-70","1","GB/T70.1-2000"
"27","1040300771","Шайба 6-200HV","27","GB/T97.1-2002"
"28","1109900765","Гидравлический замок двери
50075-C37K","2",""
