"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1040002464","Болт M16×50-8,8","4","JB/T5782-2000"
"2","00773400400001250","Стопорный штифт","4",""
"3","00771602800001210","Штифт плавающего цилиндра II","2",""
"4","00771602801400000","Плавающий цилиндр","2",""
"5","00771602800001170","Штифт плавающего цилиндра I","2",""
"6","00771602800001420","Регулировочная прокладка
качающегося ползунка","4",""
"7","00771602800001430","Регулировочная прокладка
качающегося ползунка II","4",""
"8","1040004508","Болт M10×45-8.8","6","JB/T5783-2000"
"9","1040302489","Шайба 10-200HV","98","GB/T97.1-2002"
"10","00771602803400000","Узел сухаря качающейся рамы","2",""
"11","1040004509","Болт M10×50-8.8","24","JB/T5783-2000"
"12","00771602800001240","Регулировочная прокладка на
опоре II","12",""
"13","00772102800001020","Верхняя регулирующая
прокладка выносной опоры","4",""
"14","00772102801400000","Ползун","8",""
"15","1040004507","Болт M10×40-8.8","52","JB/T5783-2000"
"16","1040101122","Винт M10×35-8,8","4","GB/T70.3-2000"
"17","00771602800001220","Регулировочная шайба","96",""
"18","00772102800001010","Боковая регулирующая прокладка
выносной опоры","32",""
"19","00772102801200000","Ползун","32",""
"20","00772102800800000","Ползун","8",""
"21","1040004565","Болт M10×30-8,8-DKL","16","JB/T5783-2016"
"22","00771602800001300","Пластина","4",""
"23","1040004245","Болт M8×55-8,8","4","JB/T27-1988"
"24","00771602803200000","Ограничительный штырь","4",""
"25","1040101492","Винт M10×25-8,8","8","GB/T70.1-2000"
"26","00771602800400000","Сварной элемент качающейся
рамы","1",""
