"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","00771900310600000","Стрела третьей секции","1",""
"2","1040002433","Болт M10×20-8.8","20","JB/T5783-2000"
"3","1040302489","Шайба 10-200HV","48","GB/T97.1-2002"
"4","00771900311001140","Нажимная плита шкива Ⅱ","2",""
"5","00771900311050000","Шкив втягивающей башенной стрелы","2",""
"6","00771900311001270","Подшипник, не требующий смазки","2",""
"7","00771600301001190","Штырь шкива Ⅱ","2",""
"8","00771600301001250","Стопорный штифт","2",""
"9","00771900311001090","Защитная планка шкива втягивающей башенной
стрелы","2",""
"10","1040004593","Болт M10×55-8.8","4","JB/T5782-2000"
"11","00771900311001180","Ограничительный блок","1",""
"12","00771900311001160","Опора стального троса II","1",""
"13","1040302490","Шайба 12-200HV","3","GB/T97.1-2002"
"14","1040002442","Болт M12×70-8,8","3","JB/T5783-2000"
"15","00771100301310000","Ползун","10",""
"16","00773400300001140","Регулировочная шайба Ⅴ","10",""
"17","00771400301401080","Регулировочная шайба IV","10",""
"18","1040002434","Болт M10×25-8.8","10","JB/T5783-2000"
"19","00771600301640000","Ползун","2",""
"20","00771400301401090","Регулировочная шайба Ⅴ","4",""
"21","1040002435","Болт M10×35-8.8","4","JB/T5783-2000"
"22","00771600301470000","Ползун","2",""
"23","1040004565","Болт M10×30-8.8","6","JB/T5783-2016"
"24","00771900311630000","Ползун","2",""
"25","00771600301610000","Верхняя пылезащитная щетка","1",""
"26","00771900311620000","Боковая пылезащитная щетка","2",""
"27","1040300771","Шайба 6-200HV","9","GB/T97.1-2002"
"28","1040002555","Болт M6×16-A2-70","9","JB/T5783-2000"
"29","1040004511","Болт M12×30-8,8","1","JB/T5783-2000"
"30","00771400210001180","Стопорный штифт","1",""
"31","1040004595","Болт M10×180-8.8","3","JB/T5782-2000"
"32","00771900311001060","Защитный щит шкива для выдвижения стрелы II","2",""
"33","1040200504","Гайка M10-8","3","GB/T889.1-2000"
"34","00771900311001250","Самосмазывающийся подшипник","2",""
