"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1990202279","Хомут спирального червяка","8",""
"2","00771907110401020","Труба топлива Ⅰ","1",""
"3","1040301515","Шайба 8-200HV","7","GB/T97.1-2002"
"4","1040004518","Болт M8×20-8,8","3","JB/T5783-2000"
"5","1040200503","Гайка M8-8","8","GB/T889.1-2000"
"6","1040002458","Болт M8×40-8,8","2","JB/T5783-2000"
"7","00771407120401010","Гнутая пластина I","1",""
"8","1040004619","Болт M8×35-8,8","2","JB/T5783-2000"
"9","00773407100401060","Болт пустотелый М16 × 1,5 × 35","2",""
"10","1081000673","Сложная уплотнительная шайба","4","JB/T982-1977"
"11","00773407100401050","Штуцер II","2",""
"12","1140114594","Быстросъемная муфта","2",""
"13","00771907110401030","Труба топлива Ⅱ","1",""
"14","00771907110401040","Труба топлива Ⅲ","1",""
"15","1990200692","Резиновая лента с пластическим
покрытием","5",""
"16","1040300771","Шайба 6-200HV","5","GB/T97.1-2002"
"17","1040005844","Болт M6×10-A2-70","5","JB/T5783-2000"
"18","00771907110401050","Труба топлива Ⅳ","1",""
"19","1140114596","Быстросъемная муфта","1",""
"20","1140114593","Быстросъемная муфта","1",""
"21","1040002434","Болт M10×25-8.8","4","JB/T5783-2000"
"22","1040302512","Шайба 10-200HV","4","GB/T96.1-2002"
"23","1040302480","Шайба 8-200HV","4","GB/T96.1-2002"
"24","00771607110410000","Бак топлива в сборе","1",""
