"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","00771900310800000","Четырехсекционная стрела","1",""
"2","00771100301310000","Ползун","4",""
"3","00773400300001140","Регулировочная шайба Ⅴ","4",""
"4","00771400301401080","Регулировочная шайба IV","4",""
"5","1040302489","Шайба 10-200HV","24","GB/T97.1-2002"
"6","1040002433","Болт M10×20-8.8","8","JB/T5783-2000"
"7","1040002434","Болт M10×25-8.8","6","JB/T5783-2000"
"8","00771600301640000","Ползун","2",""
"9","00771400301401090","Регулировочная шайба Ⅴ","4",""
"10","1040004565","Болт M10×30-8.8","4","JB/T5783-2016"
"11","00771900311820000","Ползун","2",""
"12","00771400301601020","Подшипник, не требующий
смазки","4",""
"13","00771900310001010","Штырь верхнего
выравнивающего цилиндра I","1",""
"14","00771900310001020","Ограничительный
планка","2",""
"15","1040102356","Винт M8×25-8.8","4","GB/T70.3-2000"
"16","00771100301000000","Выравнивающий цилиндр","1",""
"17","1040004511","Болт M12×30-8,8","1","JB/T5783-2000"
"18","00773400200001070","Стопорный штифт","1",""
"19","00771900310001030","Штырь верхнего шатуна","1",""
"20","1040004590","Болт M8×14-8,8","2","JB/T5783-2000"
"21","1040301515","Шайба 8-200HV","2","GB/T97.1-2002"
"22","00771400211200000","Подвижный трубный хомут","1",""
