"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1000000792","Дизельный двигатель","1",""
"2","1040001631","Болт M6×20-A2-70","4","JB/T5783-2000"
"3","1040004517","Болт M8×16-8,8","2","JB/T5783-2000"
"4","1040301515","Шайба 8-200HV","2","GB/T97.1-2002"
"5","00771400800001220","Опора установки контактора","1",""
"6","00773407100201020","Гнутая пластина II","1",""
"7","1040302491","Шайба 14-200HV","4","GB/T97.1-2002"
"8","1040004513","Болт M10×40-10,9","4","JB/T5783-2000"
"9","1030400480","Пружинная муфта в сборе","1",""
"10","1040004033","Болт M10×25-10.9","8","JB/T5783-2000"
"11","1040100875","Винт M10×25-8,8","12","GB/T70.1-2008"
"12","00773407100201070","Крышка муфты","1",""
"13","00771900800800000","Кронштейн двигателя","1",""
"14","1040200161","Гайка M16 -8","4","JB/T889-1986"
"15","00773407100201050","Подкладка","4",""
"16","1009900942","Амортизатор двигателя","8",""
"17","00773407100201010","Гнутая пластина I","1",""
"18","00773407100201030","Гнутая пластина IV","1",""
"19","1040301016","Шайба 16-300HV","4","GB/T97.1-2002"
"20","1040003912","Болт M16×120-10,9-DKL","4","JB/T5783-2000"
"21","1040000490","Болт M12×30-10,9","4","JB/T5783-2000"
"22","1040301867","Шайба 14-140HV","4","GB/T97.1-2002"
"23","00773407100201040","Изогнута пластинка III","1",""
