"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","00771407120201030","Изогнута пластинка III","1",""
"2","00771407120201020","Гнутая пластина II","1",""
"3","1030400480","Пружинная муфта в сборе","1",""
"4","1040004033","Болт M10×25-10.9","8","JB/T5783-2000"
"5","1040302489","Шайба 10-200HV","12","GB/T97.1-2002"
"6","1040002435","Болт M10×35-8.8","12","JB/T5783-2000"
"7","00771407120201050","Крышка муфты","1",""
"8","1040002178","Болт M6×30-A2-70","4","JB/T5783-2000"
"9","1040201896","Гайка M6-8","4","JB/T889-1986"
"10","00771907110210000","Кронштейн двигателя","1",""
"11","1040200161","Гайка M16 -8","4","JB/T889-1986"
"12","00773407100201050","Подкладка","4",""
"13","1009900942","Амортизатор двигателя","8",""
"14","00771407120201010","Гнутая пластина I","1",""
"15","00771407120201040","Гнутая пластина IV","1",""
"16","1040302492","Шайба 16-200HV","4","GB/T97.1-2002"
"17","1040003912","Болт M16×120-10,9-DKL","4","JB/T5783-2000"
"18","1040004653","Болт M12×30-10,9","16","JB/T5783-2000"
"19","1040302490","Шайба 12-200HV","16","GB/T97.1-2002"
"20","1000000735","Дизельный двигатель","1",""
