"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","/","Правой клапан движения назад","/",""
"2","/","Правой клапан движения вперед","/",""
"3","/","Левый клапан движения назад","/",""
"4","/","Левый клапан движения вперед","/",""
"5","1020700540","Оконечное сопротивление","1",""
"6","/","Разъем диагностики двигателя","/",""
"7","1020305006","Контактор постоянного тока
предварительного нагрева","1",""
"8","/","Реле пускового мотора","/",""
"9","00771906200230010","Пучок кабеля поворотной
платформы","1",""
"10","/","Уровень охлаждающей жидкости","/",""
"11","/","Засорение воздушного фильтра","/",""
"12","/","Индикатор зарядки","/",""
"13","/","Разъем ЭБУ двигателя","/",""
