"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","00771900310000000","Стрела в сборе","1",""
"2","00771900701200000","Длинная стальная буксирная цепь","1",""
"3","00771900700400000","Тяговая труба с длинной цепью","1",""
"4","00771900701400000","Короткая стальная буксирная цепь","1",""
"5","00771900700600000","Тяговая труба с короткой цепью","1",""
"6","1040004509","Болт M10×50-8.8","2","JB/T5783-2000"
"7","00771900700001010","Опорная плита желоба провода","1",""
"8","00771900700200000","Держатель длинной цепи","5",""
"9","1040101995","Винт M10×30-8,8","4","GB/T70.1-2000"
"10","00771600700001030","Ползун","2",""
"11","00771600700001040","Крепительная планка","2",""
"12","1040103115","Винт M8×65-8.8","7","GB/T70.1-2000"
"13","1040301515","Шайба 8-200HV","11","GB/T97.1-2002"
"14","1040004604","Болт M10×30-8.8","4","JB/T16674-2004"
"15","00771600700001080","Регулировочная шайба","2",""
"16","1040004656","Болт M10×65-8.8","3","JB/T5782-2000"
"17","00771600701000000","Вращающийся кронштейн","1",""
"18","1040102648","Винт M6×25-A2-70","6","GB/T70.2-2000"
"19","00771600700800000","Опора буксируемой трубы","1",""
"20","00771400700001010","Шайба","4",""
"21","1040002434","Болт M10×25-8.8","12","JB/T5783-2000"
"22","00771900700001080","Прижимная планка","1",""
"23","00771900700001070","Трубный зажим","1",""
"24","1040302480","Шайба 8-200HV","24","GB/T96.1-2002"
"25","1040002458","Болт M8×40-8,8","26","JB/T5783-2000"
"26","00771900700001050","Верхняя крышка желобка проводов","5",""
"27","00771900701800000","Нижняя крышка желоба проводов","5",""
"28","00771400710001020","Прижимная планка","5",""
"29","00771600700001010","Нажимная колодка трубопровода","10",""
"30","1040103121","Винт M10×35-8,8","16","GB/T70.2-2000"
"31","1040302489","Шайба 10-200HV","23","GB/T97.1-2002"
"32","1040200504","Гайка M10-8","23","GB/T889.1-2000"
"33","00771600700001100","Опорная плита трубного хомута","1",""
"34","1040102738","Винт M8×55-8.8","5","GB/T70.1-2000"
