"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"25","1021404019","Датчик наклона кузова
относительно горизонта","1",""
"26","1029906298","Концевой выключатель угла
поворотной платформы","1",""
"27","/","Штепсель скользящего кольца 1","/",""
"28","/","Штепсель скользящего кольца 2","/",""
"29","/","Уровень топлива","/",""
"30","1020304982","Аварийный зуммер","1",""
"31","/","Дорожный светильник (по
желанию)","/",""
"32","/","Промежуточная вставка
тревожной лампы","/",""
"33","00771906200430030","Пучок кабеля стрелы","1",""
"34","00771906200440010","Пучок кабелей буксирной цепи","1",""
"35","/","Разъем коробки ручного
управления","/",""
"36","/","Разъем GPS","/",""
