"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","/","Переключатель, защищенный от
сдавливания1 (опция)","/",""
"2","/","Переключатель, защищенный от
сдавливания2 (опция)","/",""
"3","/","Клапан выравнивания и подъема
платформы","/",""
"4","/","Клапан подъема маховой стрелы","/",""
"5","/","Клапан левого поворота
платформы","/",""
"6","/","Клапан правого поворота
платформы","/",""
"7","/","Клапан опускания маховой стрелы","/",""
"8","/","Клапан выравнивания и опускания
платформы","/",""
"9","1020700540","Оконечное сопротивление","1",""
"10","1021404015","Датчик угла наклона платформы","1",""
"11","1021404016","Датчик веса","1",""
"12","1020521022","Педальный переключатель","1",""
"13","00771606200210000","Электрический шкаф управления
платформой","1",""
