"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1029906298","Концевой выключатель оси
право-заднего колеса","1",""
"2","1021404304","Датчик угла поворота
право-заднего колеса","1",""
"3","1029906298","Концевой выключатель оси
лево-заднего колеса","1",""
"4","1021404304","Датчик угла поворота
лево-заднего колеса","1",""
"5","/","Передний клапан подъемного
цилиндра","/",""
"6","/","Задний клапан подъемного
цилиндра","/",""
"7","/","Штепсель скользящего кольца 1","/",""
"8","/","Штепсель скользящего кольца 2","/",""
"9","/","Плавающий клапан управления","/",""
"10","/","Двухскоростный клапан","/",""
"11","/","Тормозной клапан","/",""
"12","1029906298","Концевой выключатель переднего
подъемного цилиндра","",""
"13","1029906298","Концевой выключатель оси
лево-переднего колеса","",""
"14","1021404304","Датчик угла поворота
лево-переднего колеса","",""
"15","1029906298","Концевой выключатель оси
право-переднего колеса","",""
"16","1021404304","Датчик угла поворота
право-переднего колеса","",""
"17","/","Втягивающий клапан оси
передних колес","/",""
"18","/","Втягивающий клапан
право-переднего поворота","/",""
