"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1040004507","Болт M10×40-8.8","4","JB/T5782-2000"
"2","1040302489","Шайба 10-200HV","4","GB/T97.1-2002"
"3","00771602800001480","Пластина","2",""
"4","00771602801600000","Систему буксирной цепи","4",""
"5","1040002178","Болт M6×30-A2-70","16","JB/T5783-2000"
"6","1040300771","Шайба 6-200HV","16","GB/T97.1-2002"
"7","00771602800001350","Подшипник, не требующий
смазывания III","2",""
"8","00771602800001140","Штырь качания","1",""
"9","00771602800001410","Износостойкая прокладка вала
качания","1",""
"10","00773400400001170","Стопорный штифт","1",""
"11","1040004499","Болт M16×45-8,8","1","JB/T5783-2000"
