"№ п/п","Код материалов","Наименование и
спецификация","Кол-во","Примечание"
"1","1140101483","Тройной композитный
штуцер","1","EL12LOMDCF"
"2","1140101463","Прямой соединитель","1","GE12LR1/2EDOMDCF"
"3","1140101941","Прямой соединитель","2","GE10LR3/8EDOMDCF"
"4","1140101793","Тройной композитный
штуцер","1","ET10LOMDCF"
"5","1140101484","Тройной композитный
штуцер","1","ET15LOMDCF"
"6","1140101464","Прямой соединитель","2","GE15LREDOMDCF"
"7","1140101527","Прямой соединитель","4","GE16SREDOMDCF"
"8","1040302490","Шайба 12-200HV","4","GB/T97.1-2002"
"9","1040300054","Шайба 12","4","JB/T93-1987"
"10","1040004644","Болт M12×45-10,9","4","JB/T5783-2000"
"11","1140114650","Прямой удлиненный
соединитель","1","GE15LREDOMDCF-L11
0"
"12","1149902020","Прямой удлиненный
соединитель","2","GE15LREDOMDCF-L12
0"
"13","1140101478","Прямоугольный
композитный штуцер","1","EW15LOMDCF"
"14","1149902021","Переходный соединитель","1","GZR22/15LCF"
"15","1140101808","Тройник","1","T22LCFX"
"16","1140101632","Прямоугольный
композитный штуцер","4","EW16SOMDCF"
"17","1140114649","Прямой удлиненный
соединитель","4","GE16SREDOMDCF-L11
0"
"18","1140111237","Прямой соединитель","1","GE08LREDOMDCF"
"19","1011200183","Центрально-вращающееся
соединение","1","ZHZY47"
