"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1040004519","Болт M8×25-8,8","16","JB/T5783-2000"
"2","1040301515","Шайба 8-200HV","33","GB/T97.1-2002"
"3","00771407120601170","Планка I","2",""
"4","00771407120601180","Пластина II","2",""
"5","00771907110601150","Ветроотбойник","1",""
"6","1040004619","Болт M8×35-8,8","4","JB/T5783-2000"
"7","00771407120601110","Гнутая пластина I","1",""
"8","1000300735","Расширительный бак","1",""
"9","00771407120601160","Гнутая пластина V","1",""
"10","00771407120601130","Изогнута пластинка III","1",""
"11","00771407120601140","Гнутая пластина IV","1",""
"12","1990202279","Хомут спирального червяка","4",""
"13","00771407120601050","Паровой рукав I","1",""
"14","00771407120601060","Паровой рукав II","1",""
"15","1990202287","Хомут спирального червяка","3",""
"16","00771407120601020","Шланг II","1",""
"17","1040002435","Болт M10×35-8.8","4","JB/T5783-2000"
"18","1000300809","Вентилятор в сборе","1",""
"19","1040200504","Гайка M10-8","4","GB/T889.1-2000"
"20","00771407120601080","Прокладка вентилятора","1",""
"21","1040004508","Болт M10×45-8.8","4","JB/T5783-2000"
"22","1040302489","Шайба 10-200HV","8","GB/T97.1-2002"
"23","1990202288","Хомут спирального червяка","3",""
"24","00771407120601100","Соединитель шланга II","1",""
"25","00771407120601010","Обратный водовод","1",""
"26","00771407120601090","Соединитель шланга I","1",""
"27","1990202282","Хомут спирального червяка","2",""
"28","00771407120601040","Труба подпиточной воды","1",""
"29","1000300776","Радиатор в сборе","1",""
"30","00771407100601170","Подкладка","6",""
"31","1040002262","Болт M12×55-10,9","4","JB/T5783-2000"
"32","1040301031","Шайба 12-300HV","4","GB/T96.1-2002"
"33","1040200507","Гайка M12-8","4","GB/T889.1-2000"
"34","00771407120601120","Гнутая пластина II","1",""
"35","1040004517","Болт M8×16-8,8","11","JB/T5783-2000"
