"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"19","/","Втягивающий клапан
лево-переднего поворота","/",""
"20","/","Выдвигающий клапан
лево-переднего поворота","/",""
"21","/","Выдвигающий клапан
право-переднего поворота","/",""
"22","/","Выдвигающий клапан оси
передний колес","/",""
"23","/","Выдвигающий клапан
лево-заднего поворота","/",""
"24","/","Выдвигающий клапан
право-заднего поворота","/",""
"25","/","Выдвигающий клапан оси задних
колес","/",""
"26","/","Втягивающий клапан оси задних
колес","/",""
"27","/","Втягивающий клапан
право-заднего поворота","/",""
"28","/","Втягивающий клапан лево-заднего
поворота","/",""
"29","","Концевой выключатель заднего
подъемного цилиндра","",""
"30","/","Вставка контроллера шасси","/",""
