"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","00771606200220030","Электрический шкаф управления
поворотной платформой","1",""
"2","00771606200220030","Электрический шкаф управления
поворотной платформой","0",""
"3","00771606200220030","Электрический шкаф управления
поворотной платформой","0",""
"4","/","Разгрузочный клапан","/",""
"5","/","Клапан подъем стрелы","/",""
"6","/","Клапан выдвижения кронштейн
стрелы","/",""
"7","/","Клапан поворота влево поворотной
платформы","/",""
"8","/","Клапан опускания стрелы","/",""
"9","/","Клапан втягивания кронштейна стрелы","/",""
"10","/","Клапан поворота вправо поворотной
платформы","/",""
"11","/","Расходный клапан шасси","/",""
"12","/","Расходный клапан платформы","/",""
"13","/","Аварийный клапан опускания","/",""
"14","00771906200230020","Пучок кабелей ECU","1",""
"15","1029905348","Положительный полюс аккумулятора","1",""
"16","/","Общественно","/",""
"17","/","Реле насоса вспомогательной силовой
установки","/",""
"18","/","Водомаслоотделитель","/",""
"19","/","Радиатор","/",""
"20","1021404019","Датчик наклона кузова относительно
горизонта","1",""
"21","1029906298","Концевой выключатель угла
поворотной платформы","1",""
"22","/","Штепсель скользящего кольца 1","/",""
"23","/","Штепсель скользящего кольца 2","/",""
"24","/","Уровень топлива","/",""
