"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1040004619","Болт M8×35-8,8","2","JB/T5783-2000"
"2","1040301515","Шайба 8-200HV","2","GB/T97.1-2002"
"3","1000100391","Фильтр воздуха в сборе","1",""
"4","00771407100801030","Впускная труба Ⅲ","1",""
"5","00771407100801040","Впускная стальная труба","1",""
"6","1990202289","Хомут спирального червяка","2",""
"7","00771407100801020","Впускная труба Ⅱ","1",""
"8","1040200503","Гайка M8-8","2","GB/T889.1-2000"
"9","1990202290","Хомут спирального червяка","3",""
"10","00771407100801010","Впускная труба Ⅰ","1",""
