"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","00771602800610000","Сварной элемент выносной опоры","4",""
"2","1040100421","Винт M8×20-8,8","8","GB/T70.3-2000"
"3","00771602802200000","Внутренний палец цилиндра
рулевого управления","4",""
"4","00771602800001190","Перегородка","4",""
"5","00771602800001180","Монтажная подставка датчика","4",""
"6","00771602800001200","Крышка","4",""
"7","1040100857","Винт M6×15-8,8","20","GB/T70.1-2008"
"8","1040002434","Болт M10×25-8,8","64","JB/T5783-2000"
"9","1040302489","Шайба 10-200HV","64","GB/T97.1-2002"
"10","00771602800001010","Верхний шкворень поворотного
управления","4",""
"11","00771602800001020","Износостойкая прокладка","8",""
"12","00771602800001470","Подшипник, не требующий
смазывания IV","8",""
"13","00771602802000000","Сварной элемент поворотной
тележки","4",""
"14","1040004520","Болт M8×30-8,8","4","JB/T5783-2000"
"15","00773400300001070","Подшипник","8",""
"16","00771602801000000","Гидроцилиндр рулевого
управления","4",""
"17","00771602800001450","Втулка цилиндра рулевого
управления","4",""
"18","00771602800001080","Штифт цилиндра рулевого
управления","4",""
"19","00771602800001330","Подшипник, не требующий
смазывания I","4",""
"20","1040004511","Болт M12×30-8,8","4","JB/T5783-2000"
"21","00773400200001070","Стопорный штифт","4",""
"22","00771602800001130","Нижняя крышка","4",""
"23","00771602800001120","Нижний шкворень поворотного
управления","4",""
