"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1040002433","Болт M10×20-8.8","22","JB/T5783-2000"
"2","1040302489","Шайба 10-200HV","48","GB/T97.1-2002"
"3","00771600301001240","Нажимная плита шкива Ⅰ","2",""
"4","00771900311030000","Шкив втягивающей верхней стрелы","2",""
"5","00771900311001280","Подшипник, не требующий смазки","2",""
"6","00771600301001180","Штырь шкива Ⅰ","2",""
"7","1040002434","Болт M10×25-8.8","8","JB/T5783-2000"
"8","00771600301001350","Стопорный штифт","2",""
"9","00771600301001070","Защитный щит шкива для втягивания стрелы Ⅰ","2",""
"10","1040004535","Болт M10×60-8.8","6","JB/T5782-2000"
"11","00771900311001230","Прижимная планка","2",""
"12","1040002435","Болт M10×35-8.8","8","JB/T5783-2000"
"13","00771900310400000","2-я секция стрелы","1",""
"14","00771100301310000","Ползун","10",""
"15","00773400300001140","Регулировочная шайба Ⅴ","10",""
"16","00771400301401080","Регулировочная шайба IV","10",""
"17","00771600301490000","Ползун","2",""
"18","00771600301401050","Регулировочная шайба","4",""
"19","00771600301470000","Ползун","2",""
"20","1040004565","Болт M10×30-8.8","6","JB/T5783-2016"
"21","00771600301500000","Ползун","1",""
"22","00771900311410000","Верхняя пылезащитная щетка","1",""
"23","00771900311420000","Боковая пылезащитная щетка","2",""
"24","1040300771","Шайба 6-200HV","9","GB/T97.1-2002"
"25","1040002555","Болт M6×16-A2-70","9","JB/T5783-2000"
"26","1040200504","Гайка M10-8","8","GB/T889.1-2000"
"27","00771900311001220","Соединительная плита","4",""
"28","00771900311001190","Защитная плита стального троса","2",""
"29","1040004509","Болт M10×50-8.8","8","JB/T5783-2000"
"30","00771900311001040","Стальной трос втягивающей башенной стрелы","2",""
"31","1040302492","Шайба 16-200HV","2","GB/T97.1-2002"
"32","1040201382","Гайка M16 -8","2","JB/T6170-2000"
"33","1040200161","Гайка M16 -8","2","JB/T889-1986"
"34","1040002436","Болт M12×25-8,8","4","JB/T5783-2000"
