"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"36","1101000089","Шарнир CCM-Z270","7",""
"37","00771901104200000","Сварка лево-заднего капота","1",""
"38","00771901100001310","Монтажная плита Tp6","1",""
"39","00771601101001020","Винт Φ10","2",""
"40","00771601101001010","Плита Tp5","2",""
"41","1040004033","Болт M10×25-10.9","6","JB/T5783-2000"
"42","00771101100001080","Монтажная плита цилиндра замка Tp6","1",""
"43","00771901101600000","Опора для установки право-заднего капота","1",""
"44","00771901100001340","Уплотняющая плита Tp2","1",""
"45","00771901100001110","Уплотняющая плита Tp2","1",""
"46","1020605390","Пневматическая пружина 000815
435mm,S=162mm,F=1200N","2",""
"47","00771901100001190","Уплотняющая плита Tp2","1",""
"48","00771901100001350","Уплотняющая плита Tp2","1",""
"49","00771901100001090","Уплотняющая плита Tp2","1",""
"50","00771601103200000","Регулирующая плита право-переднего капота","3",""
"51","1040004518","Болт M8×20-8,8","4","JB/T5783-2000"
"52","00771901100001260","Монтажная плита Tp8","1",""
"53","00771601100001020","Изогнутая плита Tp5","1",""
"54","00771901100200000","Сварка право-переднего капота","1",""
"55","00771901100001320","Монтажная плита Tp6","1",""
"56","00771101100001020","Монтажная плита цилиндра замка Tp6","1",""
"57","1109900766","Замок двери аккумулятора 50076-C38K","1",""
"58","00771901105000000","Сварка право-заднего капота","1",""
"59","1040004591","Болт M3×8-8.8","8","JB/T5783-2000"
"60","00771601103401010","Плита Tp2","1",""
"61","1999905631","Петля LC254-1","1",""
"62","1040302410","Шайба 4-200HV","8","GB/T97.1-2002"
"63","1040201772","Гайка M4-A2-70","8","JB/T6170-2000"
"64","1109800044","Языковой замок YKGS282SS","2",""
"65","00771601103001010","Дверное полотно Tp2","1",""
"66","1040103122","Винт M8×16-4.8","5","JB/T818-2000"
"67","00771601100001120","Монтажная плита пульта управления Tp2","1",""
"68","1101000152","Шарнир CCM-Z165","1",""
