"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1040004517","Болт M8×16-8,8","1","JB/T5783-2000"
"2","1040301515","Шайба 8-200HV","1","GB/T97.1-2002"
"3","00771900311080000","Сварной элемент штыря катка","1",""
"4","00771900311001150","Концевой сухарь","1",""
"5","1040004658","Болт M10×110-8.8","3","JB/T5782-2000"
"6","1040302489","Шайба 10-200HV","10","GB/T97.1-2002"
"7","00771900311130000","Опора шкива","1",""
"8","00771900311001120","Ползун","2",""
"9","00771900311001240","Подшипник катка","2",""
"10","00771900311060000","Узел катка","1",""
"11","00771900311001080","Защитный щит первой шкива для
выдвижения стрелы","2",""
"12","1040004355","Болт M10×160-8.8","3","JB/T5782-2000"
"13","00771900311001260","Самосмазывающийся подшипник","2",""
"14","00771900311020000","Шкив выдвигающей верхней
стрелы","1",""
"15","1040002434","Болт M10×25-8.8","4","JB/T5783-2000"
"16","1040302490","Шайба 12-200HV","4","GB/T97.1-2002"
"17","1040002437","Болт M12×35-8,8","4","JB/T5783-2000"
"18","00771900311090000","Сварной элемент штыря шкива
III","1",""
"19","1040102757","Винт M10×25-8,8","1","GB/T70.3-2000"
"20","1040200504","Гайка M10-8","3","GB/T889.1-2000"
