"№ п/п","Код материалов","Наименование и спецификация  Кол-во","","Примечание"
"29","1040200503","Гайка M8-8","4","GB/T889.1"
"30","00773402810001142","Опора маслопровода мотора    I","2",""
"31","1040002437","Болт M12×35-8,8","4","JB/T5783"
"32","00773402810001151","Фиксирующее кольцо 
маслопровода мотора","2",""
"33","00774002800001110","Подшипник","6",""
"34","00774002800001040","Штифт IV","6",""
"35","00771600301001250","Стопорный штифт","6",""
"36","1040002434","Болт M10×25-8.8","38","JB/T5783"
"37","00774002801000000","Гидроцилиндр рулевого 
управления","2",""
"38","00774002801400000","Рулевой привод","1",""
"39","00774002800400000","Сварные изделия переднего моста","1",""
"40","00774002800800000","Поворотная цапфа    II","1",""
"41","00774002800001240","Крышка верхней цапфы 
поворотного кулака","2",""
"42","00774002800001020","Шкворень II","2",""
"43","00774002800001100","Подшипник","4",""
"44","00774002800001050","Верхняя шайба поворотной 
цапфы","2",""
"45","00774002800001270","Скоба штыря","4",""
"46","00774002800600000","Поворотная цапфа    I","1",""
"47","00771402810001010","Прокладка","2",""
"48","00774002800001030","Шкворень III","2",""
"49","00771602800001130","Нижняя крышка","2",""
