"№ п/п","Код материалов","Наименование и спецификация  Кол-во","","Примечание"
"1","1040201907","Шестигранный  фланцевый  болт 
M22 × 1,5-10","40","GB/T6177.2"
"2","1030800590","Шина φ1042","2",""
"3","1030202538","Ходовой редуктор","4",""
"4","1040102055","Винт M12×45-10.9-DKL","48","GB/T70.1"
"5","00771102810001110","Крышка","4",""
"6","1040004517","Болт M8×16-8,8","40","JB/T5783"
"7","1040301515","Шайба 8-200HV","44","GB/T97.1"
"8","00771402800001180","Пластина","1",""
"9","00771102810001100","Крышка","2",""
"10","1030800589","Шина φ1042","2",""
"11","00774002800001310","Верхняя крышка корпуса I","1",""
"12","1040004508","Болт M10×45-8.8","2","JB/T5783"
"13","1040302489","Шайба 10-200HV","34","GB/T97.1"
"14","00774002800001280","Плата  обнаружения  поворотного 
концевого выключателя","1",""
"15","1040004518","Болт M8×20-8,8","4","JB/T5783"
"16","00774002800001251","Кронштейн блока клапанов","1",""
"17","1040004499","Болт M16×45-8,8","1","JB/T5783"
"18","00773400400001170","Стопорный штифт","1",""
"19","00774002800001010","Шкворень I","1",""
"20","00771402800001130","Самосмазывающийся подшипник","2",""
"21","00774002800001320","Верхняя крышка корпуса II","1",""
"22","00774002800200001","Сварной узел каркаса 2WS","1",""
"23","00771402801200000","Плавающий цилиндр","2",""
"24","1040301511","Шайба 24-200HV","8","GB/T97.1"
"25","1040005848","Болт M24×70-10,9","8","JB/T5783"
"26","00774002800001201","Противовес шасси I","1",""
"27","1040302483","Шайба 24-200HV","4","GB/T96.1"
"28","1040201884","Гайка M24 -8","4","JB/T6170"
