"№ п/п","Код материалов","Наименование и спецификация  Кол-во","","Примечание"
"1","00774006200230010","Пучок кабеля поворотной 
платформы","1",""
"2","1020520559","Концевой выключатель 
обнаружения убирания башенной 
стрелы","1",""
"3","1029906298","Концевой выключатель буфера 
опускания башенной стрелы","1",""
"4","/","Реле подогревателя","/",""
"5","/","Оконечное сопротивление","/",""
"6","/","Диагностика двигателя","/",""
"7","/","Клапана переднего хода","/",""
"8","/","Клапан заднего хода","/",""
"9","/","Реле пускового мотора","/",""
"10","/","Вставка ЭБУ","/",""
"11","/","Возбуждение двигателя","/",""
"12","/","Сигнализация засорения 
воздушного фильтра","/",""
"13","/","Уровень охлаждающей жидкости","/",""
