"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1140101478","Прямоугольный композитный 
штуцер","4",""
"2","1140101464","Прямой соединитель","8",""
"3","1019807528","Ходовой делительный клапан","1",""
"4","1140101476","Прямоугольный композитный 
штуцер","2",""
"5","1140101461","Прямой соединитель","2",""
"6","1140101523","Прямой соединитель","2",""
"7","1140101534","Прямой соединитель","2",""
"8","1140101820","Прямой соединитель","1",""
"9","1040301515","Шайба 8-200HV","4","JB/T97.1"
"10","1040301510","Шайба 8","4","JB/T93"
"11","1040004519","Болт M8×25-8,8","4","JB/T5783"
