"Item","Part Number","Description","Qty.","Remark"
"1","00012325","Fitting, Straight","4",""
"2","00001508","Fitting, Straight","4",""
"3","50011211","Hose Assembly","1",""
"4","50011211","Hose Assembly","1",""
"5","00002138","Fitting, Straight, Bulkhead","8",""
"6","50011808","Hose Assembly","4",""
"7","00003870","Fitting, 90°, Bulkhead","4",""
"8","00001835","Fitting, 90°","12",""
"9","50011534","Hose Assembly, Tube","1",""
"10","00001504","Fitting, Straight","1",""
"11","00003088","Fitting, Straight","1",""
"12","50011538","Hose Assembly, Tube","1",""
"13","90011970","Valve, Flow Control, Adjustable","1",""
"14","00001507","Fitting, Straight","1",""
"15","00001240","Fitting, Tee","1",""
"16","50011221","Hose Assembly","1",""
"17","50011259","Hose Assembly","2",""
"18","00001506","Fitting, Straight","8",""
"19","50011210","Hose Assembly","2",""
"20","50011532","Hose Assembly, Tube","1",""
"21","50011536","Hose Assembly, Tube","1",""
"22","50011220","Hose Assembly","1",""
"23","50011199","Hose Assembly","2",""
"24","50011197","Hose Assembly","1",""
"25","50011198","Hose Assembly","1",""
"26","92048866","Fitting, Straight, Customize","2",""
"27","00001501","Fitting, Straight","10",""
"28","92102145","Hose Assembly","2",""
"29","00001239","Fitting, Tee","2",""
