"Item","Part Number","Description","Qty.","Remark"
"1","00003063","8813-303620 Sleeve Bearing","2",""
"2","50010645","Bracket","2",""
"3","00000674","Bolt  GB/T 5783  M10 × 20","6",""
"4","93000016","Spring Washer Ф10.2","16",""
"5","00000683","Bolt  GB/T 5783  M10 × 30","8",""
"6","50010640","Bracket","1",""
"7","00012225","895-30507 Pin, Pivot","1",""
"8","00000219","8902-10060 Pin, Lock","1",""
"9","00000684","Bolt  GB/T 5783  M10 × 35","1",""
"10","00000679","Spring Washer  GB/T 93  10","1",""
"11","00000615","Flat Washer  GB/T 97.1  10","1",""
"12","50010618","Support","1",""
"13","00001063","Bolt  GB/T 5783  M8 × 16","4",""
"14","93000015","Spring Washer Ф8.2","8",""
"15","50010630","Clamp","2",""
"16","50010632","Clamp","2",""
"17","50010631","Clamp","2",""
"18","50010633","Plate","2",""
"19","00012276","Bolt  GB/T 5782  M6 × 90","4",""
"20","00002560","Bolt  GB/T 70  M8 × 30","4",""
"21","00000608","Flat Washer  GB/T 97.1  8","4",""
"22","50011827","Guide plate","1",""
"23","00000844","Screw  GB/T 70.3  M10×16","8",""
"24","00000847","Screw  GB/T 70.3  M10×30","2",""
"25","50010610","Guide plate","1",""
"26","50010647","Guide plate","1",""
"27","00000837","Screw  GB/T 70.3  M8×16","5",""
"28","00000623","Nut  GB/T 6182  M10","2",""
"29","00001033","Nut  GB/T 6182  M6","2",""
