"Item","Part Number","Description","Qty.","Remark"
"1","50011155","Cover","1",""
"2","00000818","Bolt  GB/T 5783  M6 × 16","28",""
"3","93000014","Spring Washer Ф6.1","26",""
"4","50011823","Bracket","1",""
"5","00000621","Spring Washer  GB/T 93  6","6",""
"6","00002583","Flat Washer  GB/T 96.1  6","2",""
"7","00008914","Angle Sensor","1",""
"8","00000774","Screw  GB/T 70  M6 × 20","3",""
"9","00000620","Flat Washer  GB/T 97.1  6","5",""
"10","00000875","Bolt  GB/T 5783  M8 × 20","4",""
"11","93000015","Spring Washer Ф8.2","8",""
"12","00000993","Bolt  GB/T 5783  M8 × 25","4",""
"13","00012962","Valve Block (Refer to 3-39)","1",""
"14","50011154","Bracket","1",""
"15","00002509","Bolt  GB/T 5783  M6 × 50","1",""
"16","90004148","Plate","1",""
"17","50011089","Clamp","2",""
"18","00001033","Nut  GB/T 6182  M6","1",""
"19","50011828","Jib Boom","1",""
"20","50011017","Bracket","1",""
"21","50012585","Housing","2",""
"22","50011159","Cover","2",""
