"Item","Part Number","Description","Qty.","Remark"
"1","00000620","Flat Washer  GB/T 97.1  6","4",""
"2","00000621","Spring Washer  GB/T 93  6","4",""
"3","00000743","Bolt  GB/T 5783  M6 × 20","4",""
"4","00000604","Screw  GB/T 70.1  M4×16","4",""
"5","00003167","Proximity Switch","2",""
"6","93300552","Support","2",""
"7","00000605","Flat Washer  GB/T 97.1  5","8",""
"8","00000606","Spring Washer  GB/T 93  5","4",""
"9","00000688","Nut  GB/T 6170  M5","4",""
"10","00000814","Flat Washer  GB/T 97.1  12","2",""
"11","00000815","Spring Washer  GB/T 93  12","2",""
"12","00000816","Bolt  GB/T 5783  M12 × 25","2",""
"13","50010461","Support","1",""
"14","93300023","Length Angle Sensor","1",""
"15","00002484","Screw  GB/T 70  M5 × 25","4",""
