"№ п/п","Код мат-ла","Наименование и 
спецификация","Кол-во 
штук","Примечание"
"1","1100700163","Ручка","2",""
"2","1040200503","Гайка M8-8","28","GB/T889.1"
"3","1040302480","Шайба 8-200HV","28","GB/T96.1"
"4","1040004518","Болт M8×20-8.8","8","GB/T5783"
"5","1110100355","Пневматическая пружина","4",""
"6","00773701100600000","Сварка левого заднего капота","1",""
"7","1040004678","Болт останова двери M10×70","4",""
"8","1040200504","Гайка M10-8","12","GB/T889.1"
"9","00773701102000000","Кронштейн останова двери","2",""
"10","1040302489","Шайба 10-200HV","8","GB/T97.1"
"11","1040004646","Болт M10×15-8.8","8","GB/T5783"
"12","00773701100400000","Сварка левого переднего капота","1",""
"13","00773701100001040","Подкладка","6",""
"14","1040002433","Болт M10×20-8.8","16","GB/T5783"
"15","00773701100001050","Монтажная панель капота","2",""
"16","1040302512","Шайба 10-200HV","20","GB/T96.1"
"17","1040004565","Болт M10×30-8.8-DKL","2","GB/T5783"
"18","1040300771","Шайба 6-200HV","14","GB/T97.1"
"19","1040100105","Винт M6×25-8.8","14","GB/T70.1"
"20","1109900766","Замок аккумулятора","1",""
"21","00773701101200000","Держатель левого шарнира 
замка","1",""
"22","00773701100001010","Держатель левого замка","1",""
"23","1040004590","Болт M8×14-8.8","4","GB/T5783"
"24","1040004517","Болт M8×16-8.8","8","GB/T5783"
"25","1040301515","Шайба 8-200HV","8","GB/T97.1"
"26","1040004519","Болт M8×25-8.8","20","GB/T5783"
"27","00773701100200000","Держатель левого капота","1",""
"28","1040200503","Гайка M8-8","28","GB/T889.1"
"29","1101000156","Петля","4",""
