"№ п/п","Код мат-ла","Наименование и 
спецификация","Кол-во 
штук","Примечание"
"26","00773400100401020","Прижимная планка","2",""
"27","1040004654","Болт M16×1.5×40-10.9","8","GB/T5787"
"28","1040201089","Гайка M8-8","","GB/T6170"
"29","1040103118","Винт M8×100-8.8","6","GB/T70.1"
"30","00773400100401040","Вкладыш","3",""
"31","1040301510","Шайба 8","6","GB/T93"
"32","00773400110401010","Анкерная плита Ⅱ","2",""
"33","1021404016","Датчик веса","1",""
"34","00773400110410000","Переходный держатель","1",""
"35","1040201111","Гайка M24- 10","1","GB/T889"
"36","1040301511","Шайба 24-200HV","1","GB/T97.1"
"37","1040001631","Болт M6×20","4","GB/T5783"
"38","00773700100401010","Кронштейн 
гидравлического клапана","1",""
"39","1040004505","Болт M24×280-10.9","1","GB/T5782"
"40","1040004033","Болт M10×25-10.9","8","GB/T5783"
"41","1040004672","Болт M5×10-8.8","12","GB/T5783"
"42","1029904911","Пружинная шайба 5","12","GB/T93"
"43","1040300514","Шайба 5-200HV","12","GB/T97.1"
"44","1159901036","Пружинная петля","2",""
"45","00773400100230000","Вращающаяся дверь","1",""
"46","1040201880","Гайка M8- 6","1","GB/T802"
"47","1040004522","Болт M8×50-8.8","1","GB/T5783"
"48","00775600101801020","Пружина","1",""
"49","00773400100201020","Сердцевина замка","1",""
"50","1999904986","Файловая коробка","1",""
"51","1040102774","Винт M6×15-8.8","6","GB/T70.1"
"52","1040005844","Болт M6×10","4","GB/T5783"
"53","1040102646","Винт M6×12-8.8","2","GB/T70.3"
"54","00773400100261080","Перегородка","2",""
"55","00773400100261110","Упор","2",""
"56","1040100105","Винт M6×25-8.8","4","GB/T70.1"
