"№ п/п","Код мат-ла","Наименование и 
спецификация","Кол-во 
штук","Примечание"
"1","1040004570","Болт M16×30-8.8","4","GB/T5783"
"2","00773400110401010","Анкерная плита Ⅱ","2",""
"3","00773400110410000","Переходный 
держатель","1",""
"4","1040201111","Гайка M24- 10","1","GB/T889"
"5","1040301511","Шайба 24-200HV","1","GB/T97.1"
"6","1040004654","Болт M16×1.5×40-10.9","8","GB/T5787"
"7","00773400100401020","Прижимная планка","2",""
"8","1040301515","Шайба 8-200HV","25","GB/T97.1"
"9","1040004619","Болт M8×35-8.8","4","GB/T5783"
"10","1040004033","Болт M10×25-10.9","8","GB/T5783"
"11","1040201902","Гайка M6- 6","12","GB/T802"
"12","1040300771","Шайба 6-200HV","26","GB/T97.1"
"13","1040300735","Шайба 6-200HV","10","GB/T96.1"
"14","1040102773","Винт M6×40-8.8","6","GB/T70.1"
"15","1040004505","Болт M24×280-10.9","1","GB/T5782"
"16","1040302513","Шайба 16-200HV","4","GB/T96.1"
"17","1021404016","Датчик веса","1",""
"18","00773700100420000","Сварная 
деталь 
кронштейна","1",""
"19","00773700100401010","Кронштейн 
гидравлического 
клапана","1",""
"20","1040201896","Гайка M6-8","11","GB/T889.1"
"21","1040001631","Болт M6×20-A2-70","4","GB/T5783"
"22","1999904986","Файловая коробка","1",""
"23","1040102774","Винт M6×15-8.8","6","GB/T70.1"
"24","00773400100201010","Перегородка Ⅰ","1",""
"25","1040005844","Болт M6×10-A2-70","4","GB/T5783"
"26","00773400100260020","Защитный кожух","1",""
"27","00773406200210000","Электрический  шкаф 
управления 
платформой в сборе","1",""
