"№ п/п","Код мат-ла","Наименование и 
спецификация","Кол-во 
штук","Примечание"
"31","00773602800001030","Верхняя торцевая крышка 
поворотной цапфы","1",""
"32","00773400200001070","Стопорный штифт","4",""
"33","00773702803600000","Защитная пластина 
электродвигателя","2",""
"34","00773702800001150","Штифт I","2",""
"35","00773702800001020","Штифт","2",""
"36","00773700400001130","Подшип.","4",""
"37","00773702800001030","Верхняя износостойкая 
пластина поворотной цапфы","2",""
"38","00773702800001200","Нижняя износостойкая 
пластина поворотной цапфы","2",""
"39","00773702800800001","Поворотная цапфа I","1",""
"40","00773402820001060","Защитный кожух датчика угла","1",""
"41","00773702800001440","Верхняя торцевая крышка 
поворотной цапфы","1",""
"42","1040103246","Винт M16×30-8.8","6","GB/T70.1"
"43","00773402810001260","Подшип.","6",""
"44","00773702800001340","Штифт VI","6",""
"45","00771600301001250","Стопорный штифт","6",""
"46","00773702801400000","Гидроцилиндр рулевого 
управления","2",""
"47","00773702802000000","Рулевой привод","1",""
"48","00773702800001330","Штифт","1",""
"49","00773702800001220","Не требующий смазки 
подшипник","2",""
"50","00773400400001250","Стопорный штифт","1",""
"51","00773702801200001","Поворотная цапфа II","1",""
"52","1089900652","Уплотнительная лента","1",""
"53","204060296","Автомобильное 
трансмиссионное масло Great 
Wall","4",""
