"№ п/п","Код мат-ла","Наименование и 
спецификация","Кол-во 
штук","Примечание"
"1","1029903316","Оболочка","1",""
"","1029902632","Зажим","44",""
"2","1029902635","Оболочка","1",""
"","1029902630","Зажим","2",""
"3","1020700951","/","1","Селекторный 
клапан 
выравнивания"
"4","1020703394","Оболочка","1",""
"","1020700969","Зажим","1",""
"5","1020516032","Концевой 
выключатель 
угла 
поворота","1",""
"6","1020700951","/","1","Реверсивный 
клапан качания 2"
"7","1020700951","/","1","Клапан поворота 
влево 
поворотной 
платформы"
"8","1020700951","/","1","Клапан 
втягивания 
основной стрелы"
"9","1020700951","/","1","Реверсивный 
клапан качания 1"
"10","1020700951","/","1","Клапан поворота 
вправо 
поворотной 
платформы"
"11","1020700951","/","1","Клапан 
выдвижения 
основной стрелы"
