"№ п/п","Код мат-ла","Наименование и 
спецификация","Кол-в
о 
штук","Примечание"
"1","1040001631","Болт M6×20-A2-70","41","GB/T5783"
"2","1040301610","Шайба 6","35","GB/T93"
"3","1040300735","Шайба 6-200HV","35","GB/T96.1"
"4","00773702803800000","Сварка 
передней 
перекрывающей пластины","1",""
"5","1040103166","Винт 5/8-11UNC×55-10.9","32","ANSIB18.3"
"6","1040302492","Шайба 16-200HV","40","GB/T97.1"
"7","1040004521","Болт M8×45-8.8","2","GB/T5783"
"8","1040201089","Гайка M8-8","2","GB/T6170"
"9","00773702800001350","Защитный 
блок 
зарядного 
отверстия","1",""
"10","00773702800001450","Перегородка 
зарядного 
кабеля","1",""
"11","1030202344","Мотор-редуктор в сборе","4",""
"12","1030800696","Шина 33×12D610-R","2","Стандартная 
конфигурация"
"12","1030800798","Шина 33×12D610-R","2","Опциональная 
установка"
"13","1040202296","Гайка 
5/8-18UNF-10 
(DTFLOCK)","36","ANSIB18.2.2"
"14","00773702800001300","Кронштейн  клапана  рулевого 
управления","2",""
"15","1040002433","Болт M10×20-8.8","10","GB/T5783"
"16","1040004511","Болт M12×30-8.8","16","GB/T5783"
"17","00773702800001460","Зажимная 
пластина 
вращающегося соединения","2","Опциональная 
установка"
"18","00773702813400001","Правый  корпус  бака 
(Camel 
440AH)","1",""
"19","00773702800001100","Перекрывающая пластина","4",""
"20","00773702800001080","Перекрышка рамы","1",""
"21","00771102800001130","Перекрывающая пластина","1",""
