"№ п/п","Код мат-ла","Наименование и 
спецификация","Кол-во 
штук","Примечание"
"1","1021404018","Датчик наклона кузова","1",""
"2","1020700942","Разъемный соединитель","1",""
"3","1020702062","Оболочка","1",""
"4","1020700951","Оболочка","1",""
"5","1029900318","Оболочка","1",""
"6","1029900318","Оболочка","1",""
"7","1020703635","Оболочка","1","Штеккер 
температуры 
функциональног
о насоса"
"8","1029801230","Оболочка","1","Штеккер 
скорости 
функциональног
о насоса"
"9","1029907231","Прецизионное контактное 
кольцо","1",""
"10","1020700737","Оболочка","1",""
"11","1020700955","Оболочка","1",""
"12","1020700961","Оболочка","1",""
"13","1020700957","Оболочка","1",""
"14","1020700942","Оболочка","1",""
