"№ п/п","Код мат-ла","Наименование и 
спецификация","Кол-во 
штук","Примечание"
"1","1040004535","Болт M10×60-8.8","4","GB/T5782"
"2","1040302489","Шайба 10-200HV","8","GB/T97.1"
"3","1040200113","Гайка M10-8","10","GB/T6170"
"4","00773700800001090","Перегородка","1",""
"5","1040000135","Болт M8×55-8.8","1","GB/T5783"
"6","00773400700001050","Изогнутая пластина Ⅰ","1",""
"7","00773700810601020","Гнездо резиновой трубы","1",""
"8","00773700810601010","Изогнутая пластина","1",""
"9","1040200503","Гайка M8-8","2","GB/T889.1"
"10","1040500104","Штифт","1","GB/T91"
"11","1040202319","Гайка M30-10","1","GB/T6178"
"12","1040301788","Шайба 30-300HV","1","GB/T97.1"
"13","00773700810001040","Вкладыш","1",""
"14","00773700810001020","Перегородка Ⅰ","1",""
"15","00773700810001030","Фиксирующий штифт","1",""
"16","1040201891","Гайка M16×1.5-10","2","GB/T6187.1"
"17","00773700810001060","Круглая сталь","1",""
