"№ п/п","Код мат-ла","Наименование и 
спецификация","Кол-во 
штук","Примечание"
"60","1040004517","Болт","8","GB/T5783"
"61","1040301515","Шайба 8","12","GB/T97.1"
"62","00773700400001341","Перекрышка 
трубопровода IV","2",""
"63","00773700400001470","Регулировочная 
прокладка II","2",""
"64","00773700400001460","Регулировочная 
прокладка I","2",""
"65","00773700400001450","Вкладыш","2",""
"66","1040101492","Винт M10×25","4","GB/T70.1"
"67","1040004511","Болт M12×30-8.8","1","GB/T5783"
"68","00773400200001070","Стопорный штифт","1",""
"69","00773700400001100","Штифт X","1",""
"70","00773700400001520","Шнек I","1",""
"71","00773700400001380","Ролик","1",""
"72","1040302490","Шайба 12","1","GB/T70.1"
"73","1040200507","Гайка","1","GB/T889.1"
"74","1040004522","Болт M8×50","4","GB/T5783"
"75","00773700400001400","Перегородка II","2",""
"76","00773700400001370","Трубный зажим III","2",""
"77","00773700400001530","Контактная плата","1",""
"78","1040102778","Винт M6×10","2","GB/T70.1"
