"№ п/п","Код мат-ла","Наименование и 
спецификация","Кол-во 
штук","Примечание"
"28","1040302489","Шайба 10-200HV","8","GB/T97.1"
"29","1040004508","Болт M10×45-8.8","4","GB/T5783"
"30","1040200504","Гайка M10-8","4","GB/T889.1"
"31","00773406300201010","Прокл-ка","3",""
"32","1040004553","Болт M6×35-8.8","3","GB/T5783"
"33","00773400100230000","Вращающаяся дверь","1",""
"34","1040004672","Болт M5×10-8.8","12","GB/T5783"
"35","1029904911","Пружинная шайба 5","12","GB93"
"36","1040300514","Шайба 5-200HV","12","GB/T97.1"
"37","1159901036","Пружинная петля","2",""
"38","00775600101801020","Пружина","1",""
"39","00773400100201020","Сердцевина замка","1",""
"40","1040004522","Болт M8×50-8.8","1","GB/T5783"
"41","1040201880","Гайка M8- 6","1","GB/T802"
"42","00771600100210000","Сварная 
конструкция 
платформы","1",""
"43","1040004556","Болт M12×35-8.8","10","GB/T16674.1"
"44","1040301031","Шайба 12-300HV","2","GB/T96.1"
"45","1040201089","Гайка M8-8","6","GB/T6170"
"46","00773400100401040","Вкладыш","3",""
"47","1040301510","Шайба 8","6","GB/T93"
"48","1040103118","Винт M8×100-8.8","6","GB/T70.1"
"49","00773406300201030","Резиновая прокладка","2",""
"50","1040100105","Винт M6×25-8.8","4","GB/T70.1"
"51","00773400100261110","Упор","2",""
"52","1040102646","Винт M6×12-8.8","2","GB/T70.3"
"53","00773400100261080","Перегородка","2",""
"54","00773400100261030","Пластина II","1",""
"55","1020521022","Педальный 
переключатель","1",""
