"№ п/п","Код мат-ла","Наименование и 
спецификация","Кол-во 
штук","Примечание"
"1","00773400312200000","Узел ползуна","4",""
"2","00773400300001100","Регулировочная прокладка Ⅰ","4",""
"3","00773700300001221","Левая контактная плата","1",""
"4","00773700300001231","Правая контактная плата","1",""
"5","1040302489","Шайба 10-200HV","50","GB/T97.1"
"6","1040004508","Болт M10×45-8.8","5","GB/T5783"
"7","00773700302800000","Узел ползуна","12","GB/T96.1"
"8","00773400300001130","Регулировочная прокладка Ⅳ","20",""
"9","1040004565","Болт M10×30-8.8-DKL","10","GB/T5783"
"10","1040002433","Болт M10×20-8.8","14","GB/T5783"
"11","00773400300001150","Регулировочная прокладка Ⅵ","4",""
"12","00773400300001140","Регулировочная прокладка Ⅴ","4",""
"13","1010306060","Балансировочный клапан 
выдвижения-втягивания","1",""
"14","00773700300001050","Штифт V","2",""
"15","1040002434","Болт M10×25-8.8","2","GB/T5783"
"16","00773400300001200","Стопорный штифт","2",""
"17","1040004518","Болт M8×20-8.8","4","GB/T5783"
"18","1040301515","Шайба 8-200HV","6","GB/T97.1"
"19","00773700300001180","Регулировочная прокладка 
гидроцилиндра Ⅱ","2",""
"20","00773700300001170","Регулировочная прокладка 
гидроцилиндра I","4",""
"21","00773700302000000","Правая зажимная пластина","1",""
"22","00773700302200000","Левая зажимная пластина","1",""
"23","00773700300991040","Концевой выключатель","2",""
"24","00773700300001090","Длинный шнек M12×260","2",""
"25","1040302490","Шайба 12-200HV","4","GB/T97.1"
"26","00773700300001080","Ролик","2",""
"27","1040201381","Гайка M12-8","2","GB/T6170"
"28","1040103076","Винт M8×16-8.8","2","GB/T70.3"
"29","00773700400001290","Зажимная пластина","2",""
"30","00773700300001040","Штифт IV","1",""
