"№ п/п","Код мат-ла","Наименование и 
спецификация","Кол-во 
штук","Примечание"
"1","1021404018","Датчик наклона кузова","1",""
"2","1020700942","Разъемный соединитель","1",""
"3","1020702062","Оболочка","1",""
"4","1020703635","Оболочка","1","Штеккер 
температуры 
функциональног
о насоса"
"5","1029801230","Оболочка","1","Штеккер 
скорости 
функциональног
о насоса"
"6","1020520996","Аварийный выключатель","1",""
"7","1020700951","Оболочка","1",""
"8","1020903396","Аварийный аккумулятор","1",""
"9","1029907231","Прецизионное контактное 
кольцо","1",""
"10","1020703391","Оболочка","1","Вставной модуль 
контактного 
кольца 1"
"","1020700957","Оболочка","1","Штекерный 
разъем"
"11","1020700440","Оболочка","1","Вставной модуль 
контактного 
кольца 2"
"","1020700942","Оболочка","1","Штекерный 
разъем"
"12","1029900318","Оболочка","1","Клапан поворота 
влево"
"13","1029900318","Оболочка","1","Клапан поворота 
вправо"
"14","1020700951","Оболочка","1",""
"15","1020700949","Оболочка","1",""
