"№ п/п","Код мат-ла","Наименование и 
спецификация","Кол-во 
штук","Примечание"
"29","1040103076","Винт M8×16-8.8","12","GB/T70.3"
"30","00773700400001290","Зажимная пластина","6",""
"31","00773700400001080","Штифт VIII","2",""
"32","00773700400001180","Установочная 
плита 
штифта","2",""
"33","1040103164","Винт M10×30-8.8","6","GB/T70.3"
"34","00773700400001060","Штифт VI","1",""
"35","1040100087","Винт","4","GB/T70.1"
"36","00773700400001490","Направляющий блок I","1",""
"37","00773700400001500","Направляющий блок II","1",""
"38","00773700400001030","Штифт III","2",""
"39","00773400400001020","Подшип.","16",""
"40","00773700401400000","Гидроцилиндр  изменения 
вылета башенной стрелы","2",""
"41","00773700400001010","Штифт I","4",""
"42","1040004511","Болт M12×30-8.8","4","GB/T5783"
"43","00773400200001070","Стопорный штифт","4",""
"44","00773700400600000","Верхняя тяга","1",""
"45","00773700400001150","Подшип.","4",""
"46","00773700401200000","Синхронизирующая тяга","2",""
"47","1040002445","Болт M16×35-8.8","5","GB/T5783"
"48","00773400400001250","Стопорный штифт","5",""
"49","00773700400001070","Штифт VII","2",""
"50","00773700400001140","Подшип.","4",""
"51","1040302529","Шайба 5","6","GB/T96.1"
"52","1040004672","Болт M5×10-8.8","6","GB/T5783"
"53","00773700400001480","Перекрывающая пластина","1",""
"54","00773700401600000","Верхняя стойка","1",""
"55","1990300401","U-образная клейкая лента","1",""
"56","00773700400001090","Штифт IX","2",""
"57","00773700400001280","Защитная пластина II","2",""
"58","00773700400001050","Штифт V","1",""
"59","1040100087","Винт","4","GB/T70.1"
