"№ п/п","Код мат-ла","Наименование и 
спецификация","Кол-во 
штук","Примечание"
"1","00773400200001020","Подшип.","2",""
"2","00773700200200000","Опора","1",""
"3","00773400200001010","Подшип.","10",""
"4","00773700200001060","Штифт","2",""
"5","1040002433","Болт M10×20-8.8","6","GB/T5783"
"6","00773400300001200","Стопорный штифт","6",""
"7","1040004619","Болт M8×35-8.8","4","GB/T5783"
"8","1040301515","Шайба 8-200HV","4","GB/T97.1"
"9","00773700200001080","Щиток трубы","1",""
"10","1040103133","Винт M6×30","8","GB/T70.3"
"11","00773700200001100","Прижимная планка 
трубопровода","2",""
"12","00773700200001090","Фиксирующий желоб для трубы","2",""
"13","00773700200400000","Верхний шатун","1",""
"14","00773700200001050","Штифт φ35","2",""
"15","00773700200600000","Нижний шатун","2",""
"16","1010201471","Качающийся цилиндр","1",""
"17","00773700200810000","Гидроцилиндр консоли","1",""
"18","00773700200001010","Подшип.","2",""
"19","00773700200001070","Штифт","1",""
"20","1040103076","Винт M8×16-8.8","4","GB/T70.3"
"21","00773700400001290","Зажимная пластина","2",""
